application_id,application_date,application_month,claimed_first_name,claimed_last_name,date_of_birth,age,ssn_last4,address_line,city,state,zip_code,phone_number,email,email_domain,is_free_email_domain,employer_name,employer_industry,annual_income,housing_status,months_at_address,months_at_employer,thin_file_flag,device_id,ip_region,application_hour,num_prev_apps_same_device_7d,num_prev_apps_same_email_30d,num_prev_apps_same_phone_30d,num_prev_apps_same_address_30d,zip_ip_distance_proxy,name_email_match_score,document_uploaded,verification_note,ocr_document_text,address_explanation_text,employment_explanation_text,fraud_label,fraud_type,difficulty_level,generated_signal_score
APP-0C95484E6BCF,2024-11-21,2024-11,Kevin,Hughes,1981-01-06,43,4823,7744 Duke Road,New York,NY,10001,345-457-3266,kevin_hughes@workmail.com,workmail.com,0,Meta,technology,90000,own,41,20,0,DEV-794E386994374BA9,NY,4,0,0,0,0,0.253,0.919,1,Applicant provided additional documentation as requested.,Pay stub Meta employee Kevin Hughes period ending current,Recently relocated for work and mailing and residential address differ temporarily.,Started new position at Meta last month.,0,legitimate_clean,easy,0.011
APP-8E24DFDBA373,2024-06-02,2024-06,Elizabeth,Ortiz,1999-11-12,25,5744,8504 Orchard Road,Dallas,TX,75201,217-703-8712,elizabeth.o@officeemail.com,officeemail.com,0,UPS,logistics,62000,rent,85,53,0,DEV-4DA0DD2E083440EE,TX,9,0,1,0,0,0.28,0.539,1,Employer verified through callback and start date consistent.,Bank statement Elizabeth Ortiz address 8504 Orchard Road Dallas TX 75201,Address updated after recent move and utility transfer in progress.,Relocated for spouse employment and found new job in Dallas.,0,legitimate_clean,easy,0.025
APP-7214481CC9C0,2024-03-11,2024-03,Lisa,Moore,1987-10-13,37,3202,5462 Jefferson Street,Denver,CO,80201,974-886-3227,lisa.m@att.net,att.net,0,Apple,technology,137000,own,73,55,0,DEV-03C52DC786724625,CO,19,0,0,0,0,0.297,0.509,1,All verification checks passed successfully.,Insurance card holder Lisa Moore policy active current address confirmed,Temporary housing while relocating to CO for employment.,Contractor converted to full-time employee recently.,0,legitimate_clean,easy,0.032
APP-AB43F870163B,2024-07-12,2024-07,Emily,Walker,1999-05-24,25,9687,4155 Vineyard Drive,Baltimore,MD,21201,281-947-8998,ewalker@hotmail.com,hotmail.com,1,Boeing,manufacturing,63000,family,83,62,0,DEV-A20499D21A3F4D25,MD,10,0,0,0,0,0.273,0.521,1,Applicant confirmed recent move and provided updated utility bill.,Employment verification Emily Walker position confirmed Boeing,Currently staying with family while apartment lease finalizes.,Career change to manufacturing industry and short tenure expected.,0,legitimate_clean,easy,0.083
APP-19724413A806,2024-10-25,2024-10,Laura,Richardson,1993-04-21,31,4957,7413 Peninsula Lane,Tampa,FL,33601,996-842-5374,laurarichardson@verizon.net,verizon.net,0,Caterpillar,manufacturing,46000,own,64,66,0,DEV-2FA2E7D6892F4C73,FL,9,0,0,1,0,0.127,0.944,1,Recent address change explained and documented.,W2 form Laura Richardson employer Caterpillar wages verified,College graduate recently moved to new city for first job.,Promoted internally and tenure reflects new role start date.,0,legitimate_clean,easy,0.051
APP-7AE60868D786,2024-03-11,2024-03,Carol,Evans,1991-02-16,33,5449,9429 Farm Road,Los Angeles,CA,90001,846-381-6134,carolevans@hotmail.com,hotmail.com,1,Hilton Hotels,hospitality,21000,rent,38,27,0,DEV-FBB0B7E7C16F40BC,CA,14,0,0,0,0,0.13,0.903,0,Applicant confirmed recent move and provided updated utility bill.,Employment verification Carol Evans position confirmed Hilton Hotels,College graduate recently moved to new city for first job.,Relocated for spouse employment and found new job in Los Angeles.,0,legitimate_clean,hard,0.103
APP-4BD5D9115735,2024-12-05,2024-12,Charles,Sanchez,1970-12-08,54,5723,3796 Pleasant Street,Miami,FL,33101,391-672-2037,charles.sanchez91@professionalmail.com,professionalmail.com,0,Liberty Mutual,insurance,116000,own,106,95,0,DEV-A33110FC47E34142,FL,13,1,0,0,0,0.127,0.902,1,Phone number verified through callback.,Lease agreement tenant Charles Sanchez property 3796 Pleasant Street Miami,College graduate recently moved to new city for first job.,Recently joined employer after graduation.,0,legitimate_clean,easy,0.092
APP-E20540D46234,2024-05-29,2024-05,George,Taylor,1990-11-03,34,1327,4666 Beach Avenue,Cincinnati,OH,45201,516-579-1272,george_taylor@hotmail.com,hotmail.com,1,Nationwide,insurance,85000,rent,39,44,0,DEV-818667B53F844906,WI,0,0,0,0,0,0.298,0.91,1,Phone number verified through callback.,Direct deposit form George Taylor employer Nationwide verified,Temporary housing while relocating to OH for employment.,Career change to insurance industry and short tenure expected.,0,legitimate_clean,easy,0.102
APP-F93CF4AE468A,2024-11-12,2024-11,Laura,Gonzalez,1994-07-27,30,6265,3383 Bay Street,Chicago,IL,60601,635-802-7127,laura.g@ymail.com,ymail.com,1,Community Health Systems,healthcare,123000,own,77,15,0,DEV-E3C5EB5A6BD14ED1,IL,9,0,0,0,0,0.149,0.483,1,Recent address change explained and documented.,Utility statement confirms service address and applicant name,Address updated after recent move and utility transfer in progress.,Career change to healthcare industry and short tenure expected.,0,legitimate_clean,medium,0.06
APP-64E8439AB634,2024-08-31,2024-08,Paul,Carter,1991-05-04,33,4809,6456 Lakeside Drive,San Antonio,TX,78201,717-489-3559,paul.c@corporateemail.com,corporateemail.com,0,University of California,education,57000,rent,82,10,0,DEV-27B879070957463F,TX,18,0,0,0,0,0.238,0.532,1,Phone and email both verified successfully.,Professional license Paul Carter address San Antonio TX valid,Moved to San Antonio last month for new job opportunity.,Career change to education industry and short tenure expected.,0,legitimate_clean,easy,0.0
APP-E33BCA19523B,2024-04-05,2024-04,Charles,Adams,1985-02-14,39,8427,8406 Highland Avenue,Albuquerque,NM,87101,779-548-1608,cadams@hotmail.com,hotmail.com,1,Costco,retail,30000,rent,36,19,0,DEV-EFB1688D601D4BB5,TN,14,0,0,0,0,0.079,0.467,1,Name spelling variation noted but documents consistent.,Pay stub Costco employee Charles Adams period ending current,Temporary housing while relocating to NM for employment.,Relocated for spouse employment and found new job in Albuquerque.,0,legitimate_clean,hard,0.12
APP-25105C5BF8FA,2024-12-31,2024-12,Deborah,Gonzalez,1982-05-13,42,1981,5343 Mill Street,Fresno,CA,93701,253-407-4925,dgonzalez@msn.com,msn.com,1,Meta,technology,93000,own,77,70,0,DEV-244058713DB1480E,CA,11,0,0,0,0,0.145,0.475,1,Identity verified through standard process.,Utility bill account holder Deborah Gonzalez service address Fresno CA,Temporary housing while relocating to CA for employment.,Promoted internally and tenure reflects new role start date.,0,legitimate_clean,easy,0.095
APP-30E98DB7F00C,2024-06-18,2024-06,Donna,Evans,1961-10-26,63,7370,8639 Pleasant Street,Fresno,CA,93701,669-864-1633,devans@verizon.net,verizon.net,0,State University System,education,87000,rent,83,74,0,DEV-87B5A355D06D4E36,CA,14,0,0,0,0,0.086,0.549,1,Standard verification completed without issues.,Name Donna Evans Address 8639 Pleasant Street Fresno CA,Currently staying with family while apartment lease finalizes.,Career change to education industry and short tenure expected.,0,legitimate_clean,easy,0.001
APP-A0554E5EA983,2024-10-23,2024-10,Robert,Evans,1968-07-19,56,0843,1844 Farm Road,Jacksonville,FL,32201,287-467-8214,robert.evans4@msn.com,msn.com,1,Bank of America,finance,144000,own,39,73,0,DEV-CCB2EF289A434F94,FL,13,1,0,0,0,0.118,0.858,1,Document quality acceptable and all fields readable.,Name Robert Evans Address 1844 Farm Road Jacksonville FL,Recently purchased home and previous address was rental.,Recently joined employer after graduation.,0,legitimate_clean,easy,0.118
APP-F7D6101E643E,2024-03-05,2024-03,Pamela,Torres,1998-10-18,26,9499,6164 Spring Street,Louisville,KY,40201,481-880-9614,pamela97@protonmail.com,protonmail.com,1,Target,retail,26000,rent,101,92,1,DEV-D7CD268D5DDC4A2E,KY,9,0,0,0,0,0.24,0.37,1,Phone number verified through callback.,Health insurance card Pamela Torres employer Target active,Address updated after recent move and utility transfer in progress.,Career change to retail industry and short tenure expected.,0,legitimate_clean,easy,0.211
APP-19796736BD51,2024-11-18,2024-11,Stephen,Jimenez,1967-12-11,57,2317,3574 Elm Street,San Francisco,CA,94101,867-392-3557,stephen_jimenez@aol.com,aol.com,1,General Motors,manufacturing,45000,other,7,13,0,DEV-163839A1D7834DAB,PA,20,0,0,0,0,0.131,0.877,1,Multiple applications from same device with different identities.,Mortgage statement borrower Stephen Jimenez property San Francisco CA,Currently staying with family while apartment lease finalizes.,Promoted internally and tenure reflects new role start date.,0,legitimate_noisy,medium,0.113
APP-8F5021482856,2024-08-27,2024-08,Margaret,James,2001-01-15,23,8286,4917 Bay Street,Indianapolis,IN,46201,359-518-5971,margaret.j@enterprisemail.com,enterprisemail.com,0,Ford Motor Company,manufacturing,48000,family,51,94,0,DEV-6CC0BD4265424A67,IN,14,0,0,0,1,0.19,0.541,1,Income documentation matches stated amount.,Employment verification Margaret James position confirmed Ford Motor Company,Temporary housing while relocating to IN for employment.,Started new position at Ford Motor Company last month.,0,legitimate_clean,easy,0.043
APP-D718FE205206,2024-01-07,2024-01,Daniel,Bennett,1991-11-13,33,8082,4309 Liberty Street,Louisville,KY,40201,678-373-9654,daniel.bennett@workmail.com,workmail.com,0,Home Depot,retail,43000,own,18,82,0,DEV-A6551A6E93424BF7,KY,15,0,0,0,1,0.011,0.886,1,All verification checks passed successfully.,ID card Daniel Bennett address matches application Louisville KY,Recently relocated for work and mailing and residential address differ temporarily.,Recently joined employer after graduation.,0,legitimate_clean,easy,0.05
APP-7AD44403EB34,2024-06-15,2024-06,Kenneth,Martin,2000-05-20,24,6824,8374 Coastal Road,Austin,TX,78701,225-573-5494,kenneth.martin48@att.net,att.net,0,Goldman Sachs,finance,76000,own,17,70,0,DEV-396B643ABFD648E9,TX,12,0,0,0,0,0.224,0.898,1,Short employment tenure due to recent graduation.,Mortgage statement borrower Kenneth Martin property Austin TX,Temporary housing while relocating to TX for employment.,Returned to workforce after parental leave.,0,legitimate_clean,medium,0.032
APP-86E44D912B2D,2024-02-15,2024-02,Christine,Gomez,1974-10-14,50,8359,4548 Lakeside Drive,Tucson,AZ,85701,769-615-4198,christine.gomez21@mail.com,mail.com,1,Salesforce,technology,76000,rent,113,38,0,DEV-A87AFB5CD21E473B,TX,11,0,0,0,0,0.163,0.908,1,Phone and email both verified successfully.,Insurance card holder Christine Gomez policy active current address confirmed,College graduate recently moved to new city for first job.,Career change to technology industry and short tenure expected.,0,legitimate_clean,easy,0.07
APP-416D3C6B93AF,2024-07-25,2024-07,Ronald,Gomez,2003-01-01,21,8079,4123 School Road,Portland,OR,97201,310-960-6214,ronald.g@comcast.net,comcast.net,0,Liberty Mutual,insurance,83000,family,75,14,0,DEV-484AE40330224283,OR,20,0,0,0,0,0.065,0.499,1,Employment gap explained with supporting documents.,Voter registration Ronald Gomez address 4123 School Road Portland confirmed,Recently purchased home and previous address was rental.,Returned to workforce after parental leave.,0,legitimate_clean,medium,0.055
APP-4D7E24DE7C5A,2024-03-31,2024-03,Eric,Williams,1954-07-24,70,5797,3749 Broad Street,Charlotte,NC,28201,245-218-8627,eric.williams27@att.net,att.net,0,Meta,technology,150000,own,100,78,0,DEV-47F7CE31694C46BE,NC,6,0,0,0,0,0.019,0.865,1,Name spelling variation noted but documents consistent.,Vehicle registration Eric Williams address Charlotte NC current,Recently relocated for work and mailing and residential address differ temporarily.,Returned to workforce after parental leave.,0,legitimate_clean,easy,0.005
APP-6995FEE26BB5,2024-01-09,2024-01,Jeffrey,Lewis,1978-06-14,46,7913,4937 Franklin Avenue,Louisville,KY,40201,200-671-2648,jeffreylewis@corporateemail.com,corporateemail.com,0,DHL,logistics,46000,family,63,90,0,DEV-158B0BEA4D0E4A7B,KY,13,0,0,0,0,0.122,0.91,1,Phone number verified through callback.,Credit union statement member Jeffrey Lewis address verified Louisville,Recently relocated for work and mailing and residential address differ temporarily.,Returned to workforce after parental leave.,0,legitimate_clean,easy,0.045
APP-6A9BA1C4604F,2024-06-28,2024-06,Brandon,Peterson,1988-12-20,36,3684,5425 Valley Drive,San Jose,CA,95101,330-673-3588,brandon.p@live.com,live.com,1,JPMorgan Chase,finance,171000,family,23,26,0,DEV-7CB17E9EF7E14730,CA,14,0,0,0,0,0.292,0.495,1,Address confirmed via utility statement.,Mortgage statement borrower Brandon Peterson property San Jose CA,College graduate recently moved to new city for first job.,Started new position at JPMorgan Chase last month.,0,legitimate_clean,easy,0.105
APP-6A415565F186,2024-01-21,2024-01,Donald,Anderson,1956-06-25,68,0161,7363 Lake Drive,Albuquerque,NM,87101,257-981-7552,donaldanderson@mail.com,mail.com,1,Progressive,insurance,51000,rent,10,33,0,DEV-FFD2654C9C264816,WI,17,2,2,1,1,0.585,0.933,1,Multiple identity variations submitted from same source.,Utility bill address does not match Albuquerque NM,Claimed address appears to be commercial property.,No record of applicant at claimed employer.,1,true_name_fraud,medium,0.407
APP-48E125F47E63,2024-08-13,2024-08,Linda,Nelson,1969-08-24,55,1843,4138 Fairview Lane,Los Angeles,CA,90001,419-702-6355,linda_nelson@att.net,att.net,0,Hilton Hotels,hospitality,23000,own,28,25,0,DEV-EA17CE0DF5DC4764,CA,8,0,0,0,0,0.219,0.877,1,Standard verification completed without issues.,Mortgage statement borrower Linda Nelson property Los Angeles CA,Temporary housing while relocating to CA for employment.,Returned to workforce after parental leave.,0,legitimate_clean,easy,0.001
APP-3073AA87110C,2024-07-31,2024-07,Jacob,Gray,1971-08-28,53,4984,7228 Lincoln Drive,Orlando,FL,32801,986-255-9130,jacob.gray66@ymail.com,ymail.com,1,UnitedHealth Group,healthcare,80000,other,1,5,0,DEV-BFCA5E96A4DF426C,FL,17,0,0,0,0,0.143,0.931,1,Employer verified through callback and start date consistent.,Health insurance card Jacob Gray employer UnitedHealth Group active,Address updated after recent move and utility transfer in progress.,Recently joined employer after graduation.,0,legitimate_noisy,easy,0.188
APP-3CC7A30CCBEE,2024-06-11,2024-06,Brenda,James,1978-04-22,46,3205,683 Oak Avenue,Miami,FL,33101,471-681-3481,bjames@charter.net,charter.net,0,Liberty Mutual,insurance,55000,rent,48,22,0,DEV-532FEC0624494A96,FL,16,0,0,0,0,0.001,0.492,1,Employer information confirmed via company directory.,Professional license Brenda James address Miami FL valid,Moved to Miami last month for new job opportunity.,Contractor converted to full-time employee recently.,0,legitimate_clean,easy,0.035
APP-F336970F507A,2024-05-03,2024-05,Amy,Rivera,1949-10-19,75,9942,2737 East Street,Austin,TX,78701,972-931-4445,user2702@workmail.com,workmail.com,0,Target,retail,42000,rent,20,14,0,DEV-FRAUD-0044,TX,19,1,2,2,0,0.457,0.0,1,Income verified through pay stubs provided.,Address on document 2737 East Street differs from application,No clear explanation for address mismatch with documents.,Employment dates inconsistent with provided documentation.,1,true_name_fraud,medium,0.388
APP-392107261F5B,2024-04-28,2024-04,Anna,Young,1982-07-01,42,5545,1983 Coastal Road,Columbus,OH,43201,434-786-8366,anna.young64@outlook.com,outlook.com,1,Liberty Mutual,insurance,69000,rent,101,81,0,DEV-066189E7A1994E53,OH,15,0,0,0,0,0.143,0.936,1,Phone and email both verified successfully.,Name Anna Young Address 1983 Coastal Road Columbus OH,Address updated after recent move and utility transfer in progress.,Returned to workforce after parental leave.,0,legitimate_clean,medium,0.014
APP-C8ACD2324AB0,2024-09-25,2024-09,Justin,Perez,1999-08-16,25,2306,9465 High Street,San Antonio,TX,78201,527-767-5895,justin7@verizon.net,verizon.net,0,Dell Technologies,technology,54000,family,12,59,0,DEV-BDDB37ADABDC4159,TX,8,0,0,1,0,0.211,0.392,1,Address confirmed via utility statement.,Tax document Justin Perez filing address 9465 High Street San Antonio TX,Recently purchased home and previous address was rental.,Career change to technology industry and short tenure expected.,0,legitimate_clean,easy,0.123
APP-294E9DF601E7,2024-11-25,2024-11,Dorothy,Moore,1975-07-14,49,6177,7438 Market Street,San Francisco,CA,94101,284-702-1390,dmoore@verizon.net,verizon.net,0,DHL,logistics,70000,rent,90,55,0,DEV-67467DE90B55499E,CA,9,1,0,0,0,0.158,0.504,1,Income verified through pay stubs provided.,Utility statement confirms service address and applicant name,Temporary housing while relocating to CA for employment.,Recently joined employer after graduation.,0,legitimate_clean,easy,0.035
